meeting,source_file,source_uuid,principles_count,transcript_length,end_to_end,robustness,layering,fate_sharing,least_surprise,rough_consensus,ossification,tussle,simplicity,trust,connectivity,constant_change
ietf110,ietf110_6lo_28676.vcon.json,5b2c4b52-438f-4da2-9b7c-32cfaefa9df6,3,47866,0,0,1,1,0,0,0,0,0,0,0,1
ietf110,ietf110_6man_28589.vcon.json,33426dd1-3ec8-46ad-985b-462006d1525f,2,64087,0,0,1,0,0,0,1,0,0,0,0,0
ietf110,ietf110_ace_28622.vcon.json,0b87ef1f-22d5-4cb3-9025-09858590a5f6,3,79467,1,0,0,0,0,0,0,0,1,1,0,0
ietf110,ietf110_add_28639.vcon.json,7a4a4f84-1f5c-46fa-bdc1-559befc8673f,1,50934,0,0,0,0,0,0,0,0,0,1,0,0
ietf110,ietf110_alto_28678.vcon.json,b7e22d8e-9ecc-4721-aedb-3be099fcada8,1,45717,0,0,0,0,0,0,0,0,0,1,0,0
ietf110,ietf110_anima_28679.vcon.json,b5293612-0163-4694-86ff-3f6e38790913,1,42686,0,0,0,0,0,0,0,0,0,1,0,0
ietf110,ietf110_asap_28602.vcon.json,01e22416-051f-40e6-a60b-d9c53f093126,1,25840,0,0,0,0,0,0,0,0,1,0,0,0
ietf110,ietf110_asdf_28636.vcon.json,221e4a18-f9f3-4420-84e6-27bcdc3bff25,1,87883,0,0,0,0,0,0,0,0,1,0,0,0
ietf110,ietf110_avtcore_28569.vcon.json,035af73f-01ca-4f5c-9a9f-2fd5937e6df4,1,86299,0,0,0,0,0,0,0,0,1,0,0,0
ietf110,ietf110_babel_28702.vcon.json,47af32c3-2e01-4071-a957-b1430780cea4,4,48195,1,0,1,1,0,0,0,0,0,0,0,1
ietf110,ietf110_bess_28579.vcon.json,a699e33c-c11b-4917-abda-87a0497e97e7,5,84805,0,0,1,1,0,0,0,0,1,0,1,1
ietf110,ietf110_bier_28701.vcon.json,0e67ad01-2a0e-4f2f-a5a9-e91d673204d6,1,84025,0,0,1,0,0,0,0,0,0,0,0,0
ietf110,ietf110_bmwg_28751.vcon.json,f4c18fbc-693c-48b0-8798-3a881f687922,1,79011,0,0,1,0,0,0,0,0,0,0,0,0
ietf110,ietf110_calext_28624.vcon.json,100fdf57-62ad-489c-be06-da9681cacff7,1,39963,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_cbor_28677.vcon.json,343cfe39-e670-4161-b390-75675347737c,3,37524,0,0,0,0,0,1,0,0,1,0,0,1
ietf110,ietf110_ccamp_28594.vcon.json,26cc5f96-a356-4e7f-baed-d3a6f8b3be3d,1,61840,0,0,1,0,0,0,0,0,0,0,0,0
ietf110,ietf110_cfrg_28595.vcon.json,ca3a4e98-4e4e-4583-babe-5e1dbbb3f0a6,2,86856,0,0,0,0,0,0,0,0,1,0,0,1
ietf110,ietf110_coinrg_28603.vcon.json,e1454928-f4ff-44c7-a6de-8d1e1b44fcb0,3,96138,1,0,1,0,0,0,0,0,0,0,1,0
ietf110,ietf110_core_28663.vcon.json,8d124958-8c5e-4cfa-8ce4-625aec4db1de,2,70247,0,0,0,1,0,0,0,0,0,0,0,1
ietf110,ietf110_cose_28730.vcon.json,2ae3b52b-9c16-4b3c-81b5-42f6297e59cb,1,38776,0,0,0,0,0,0,0,0,0,1,0,0
ietf110,ietf110_danish_28735.vcon.json,23a941c2-9956-404f-bafc-d03311794b5f,2,92485,0,0,0,0,0,0,0,0,1,1,0,0
ietf110,ietf110_detnet_28644.vcon.json,dfaec0b2-e96f-4737-a608-46aa76eb6cd1,1,47475,0,0,0,0,0,1,0,0,0,0,0,0
ietf110,ietf110_dispatch_28578.vcon.json,cf743fa4-c94a-485a-9e66-f0d878a3a42f,3,87212,0,0,0,1,0,0,0,0,1,0,0,1
ietf110,ietf110_dmm_28728.vcon.json,51141539-4033-485d-a33b-e6e62ffe06ea,2,26824,0,0,1,1,0,0,0,0,0,0,0,0
ietf110,ietf110_dnsop_28566.vcon.json,0298887f-08e1-4dc9-bd6a-d3790e5fc0a6,1,92870,0,0,0,0,0,0,0,0,1,0,0,0
ietf110,ietf110_dnssd_28713.vcon.json,15e45e09-c4d8-4886-94e1-2428926ff362,1,87027,0,0,0,0,0,0,0,0,0,0,1,0
ietf110,ietf110_dprive_28568.vcon.json,ef354451-2c1b-485c-9c47-706a32158070,3,98081,0,0,0,1,0,1,0,0,1,0,0,0
ietf110,ietf110_drip_28623.vcon.json,e9a207a4-ad4e-41a4-a6aa-79cc4b4e249e,1,81944,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_dtn_28658.vcon.json,c01891d4-c072-43e3-b1eb-423334c8b1a3,3,95188,0,1,0,1,0,0,0,0,0,0,0,1
ietf110,ietf110_emailcore_28584.vcon.json,b272e7c1-e506-47cc-8cd4-d2b3c38992c2,1,67510,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_emu_28716.vcon.json,5d93a0aa-d824-47ca-89b4-bc63c090929f,2,76809,0,1,0,0,0,1,0,0,0,0,0,0
ietf110,ietf110_gnap_28577.vcon.json,9431d075-4c5b-4eb9-b02a-6ae703b3969a,2,84501,0,0,0,0,0,0,0,0,1,1,0,0
ietf110,ietf110_grow_28682.vcon.json,a9aa61c6-f585-4ad1-ae49-361da11f983b,1,42012,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_hackathon_28710.vcon.json,33d677d8-b7e8-464a-bed0-a8c858b781cb,1,30402,0,0,1,0,0,0,0,0,0,0,0,0
ietf110,ietf110_hrpc_28596.vcon.json,651acaf7-2b4d-4330-9087-0fc3826600ef,5,96128,0,1,0,0,0,1,0,1,0,0,1,1
ietf110,ietf110_iabopen_28684.vcon.json,41354fb8-a918-45ed-84cf-7d93964009da,4,51902,0,0,0,1,0,0,1,0,1,0,0,1
ietf110,ietf110_iccrg_28714.vcon.json,f45f6fd8-a0e4-4a0a-9626-a3efe2308c5b,3,84389,0,0,0,1,0,0,0,0,1,0,0,1
ietf110,ietf110_icnrg_28606.vcon.json,b71b5518-eda2-45a0-b39e-219450e84296,1,74531,0,0,0,0,0,0,0,0,0,0,1,0
ietf110,ietf110_idr_28689.vcon.json,b2bcd635-999b-40da-9a51-2efa10176ab7,1,34688,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_ietf_28744.vcon.json,1bf9d4f3-aa0a-4b22-91ea-689180788184,2,113319,0,0,0,0,0,1,0,1,0,0,0,0
ietf110,ietf110_iotops_28738.vcon.json,252b7dfe-9079-4619-8821-b5a2844b2161,2,53338,0,0,0,0,0,1,0,0,0,1,0,0
ietf110,ietf110_ippm_28696.vcon.json,c9a2958e-80bd-4781-87e6-4a2193775980,4,80465,0,0,0,1,0,1,0,0,0,0,1,1
ietf110,ietf110_ipsecme_28698.vcon.json,20693b39-5cf3-4c06-bec3-646759b07054,4,90779,0,0,1,0,0,1,0,0,1,1,0,0
ietf110,ietf110_irtfopen_28633.vcon.json,7f6163a6-8c1f-42cc-b75f-2b93abd89005,1,78654,0,1,0,0,0,0,0,0,0,0,0,0
ietf110,ietf110_jmap_28632.vcon.json,e3e8f6cf-6d7f-4c7b-9c0b-059cb36d9e94,1,88882,0,0,0,0,0,1,0,0,0,0,0,0
ietf110,ietf110_lake_28681.vcon.json,dacb0545-d654-46df-ba65-c70a8c450439,2,76224,0,0,0,1,0,0,0,0,0,0,0,1
ietf110,ietf110_lpwan_28647.vcon.json,91a36810-0964-47cf-aa85-6c1cc881bccd,1,44166,0,0,0,1,0,0,0,0,0,0,0,0
ietf110,ietf110_lsr_28641.vcon.json,7ccffed4-e19a-44f7-bd04-82f19581c97c,3,81797,0,0,1,0,0,0,0,0,1,0,0,1
ietf110,ietf110_lsvr_28646.vcon.json,a032f6f1-d489-4595-a02f-d8202debc2f2,4,34676,0,1,1,1,0,0,0,0,0,0,0,1
ietf110,ietf110_manet_28731.vcon.json,ede3a43a-1f47-4b7c-b749-41a3303d3be5,1,42153,0,0,1,0,0,0,0,0,0,0,0,0
ietf110,ietf110_maprg_28719.vcon.json,15979ffe-9bf3-4a77-b8b5-ea650866c364,2,59059,1,0,0,1,0,0,0,0,0,0,0,0
ietf110,ietf110_masque_28600.vcon.json,0718af46-e88e-4e19-adf8-25304a343700,5,97209,0,0,0,1,0,1,1,0,1,0,0,1
ietf110,ietf110_mls_28637.vcon.json,07cefd87-5bec-4ecd-909b-2e4993d6a695,1,59572,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_mops_28707.vcon.json,6614c66e-fe3e-4d91-85bb-5a0fe25c89fa,1,89565,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_mpls_28653.vcon.json,f9e94977-2e2b-44ce-91f4-5f7128aefd11,2,82551,0,0,0,0,0,0,0,0,0,0,1,1
ietf110,ietf110_netconf_28672.vcon.json,ee334575-053d-4eea-a509-5c26797901a4,1,79047,0,0,0,0,0,0,0,0,0,1,0,0
ietf110,ietf110_netmod_28743.vcon.json,70355e69-9ceb-4d4b-a379-2a4f6f4a880f,2,94265,0,0,0,0,0,1,0,0,0,0,0,1
ietf110,ietf110_nmrg_28613.vcon.json,a4c345fb-c740-4031-bd53-12fae8c2c129,4,85680,0,1,0,0,0,0,0,1,1,0,0,1
ietf110,ietf110_ntp_28717.vcon.json,31fb4123-0c69-46ed-ba63-3a713c0204bc,4,78282,0,0,0,0,0,0,1,1,0,1,0,1
ietf110,ietf110_nwcrg_28643.vcon.json,f59f1ee8-0281-4b9d-abc7-ce6ff142d0db,1,45627,0,0,0,0,0,1,0,0,0,0,0,0
ietf110,ietf110_openpgp_28649.vcon.json,777dc995-144d-4042-b8f4-18131ad1080c,1,37294,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_opsawg_28673.vcon.json,3f07f70b-eb09-4f8f-8cc5-2ab58aa47aa7,2,88123,0,0,1,0,0,0,0,0,0,0,0,1
ietf110,ietf110_pals_28662.vcon.json,94b0e48e-38b8-4f96-b09c-0c02d88dfb65,3,91889,0,0,1,0,0,0,0,0,1,0,0,1
ietf110,ietf110_panrg_28642.vcon.json,6b691279-f89c-49e4-9ad9-9a7d84c38a1f,3,47774,0,0,1,1,0,0,0,0,0,1,0,0
ietf110,ietf110_pce_28593.vcon.json,4f305b80-2fe7-47fc-ada2-dfa96b9f2ed1,3,75303,0,0,0,1,0,1,0,0,0,0,0,1
ietf110,ietf110_pearg_28723.vcon.json,671750f8-4e0d-42e2-b8fa-fa65254f9896,1,49441,0,0,0,0,0,0,0,0,1,0,0,0
ietf110,ietf110_pim_28604.vcon.json,f09affb3-5883-4d42-9fc1-7d2e07d94bab,1,62919,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_privacypass_28724.vcon.json,992333e9-0b9d-4848-bdaf-bf99fb1afcf1,2,91887,0,0,0,0,0,0,0,0,1,1,0,0
ietf110,ietf110_quic_28605.vcon.json,dd07b1c3-265c-4135-911b-4e41af7b7d9c,4,97754,0,0,0,1,0,1,1,0,0,0,0,1
ietf110,ietf110_raw_28657.vcon.json,4a360ede-1ecb-40d4-bd3b-cadb0fb3b78b,3,102780,0,0,1,0,0,0,0,0,1,0,0,1
ietf110,ietf110_regext_28704.vcon.json,6e23a7e2-50c9-4b9b-a782-3b32ea71d4ae,3,77358,0,0,0,1,0,0,0,0,0,1,0,1
ietf110,ietf110_rfcefdp_28608.vcon.json,2c58bc86-8ab6-43ed-b219-18012699b146,1,94218,0,0,0,0,0,1,0,0,0,0,0,0
ietf110,ietf110_rift_28733.vcon.json,8c5d9c17-908c-4376-9363-f418536e6ddc,1,40751,0,0,0,0,0,0,1,0,0,0,0,0
ietf110,ietf110_roll_28708.vcon.json,e7ec23cf-6e86-45c5-a49d-2080b1e78e65,2,48754,0,0,0,0,0,0,0,0,1,0,0,1
ietf110,ietf110_rtcweb_28740.vcon.json,89c695bc-efe7-41fc-8530-37f901e475dc,3,81120,0,1,0,1,0,0,0,0,0,0,0,1
ietf110,ietf110_rtgarea_28725.vcon.json,4a0d49b3-e521-47da-ae4c-471a81d4b342,4,75485,0,0,1,0,0,0,1,0,1,0,0,1
ietf110,ietf110_rtgwg_28629.vcon.json,56256558-6655-41db-bf75-9f2a12640ec1,3,60513,0,0,0,1,0,0,0,0,0,0,1,1
ietf110,ietf110_rum_28720.vcon.json,8933e3f1-cb88-4064-94ab-49f1584b8ee2,1,44463,0,0,0,0,0,1,0,0,0,0,0,0
ietf110,ietf110_saag_28721.vcon.json,f46d0a6a-5bbd-490b-9529-cc57a2ba63be,1,97578,0,0,0,1,0,0,0,0,0,0,0,0
ietf110,ietf110_sacm_28718.vcon.json,14d2df20-a785-4948-bd9f-16edd932b092,4,86069,0,0,0,0,0,1,0,0,1,1,0,1
ietf110,ietf110_secdispatch_28680.vcon.json,e5bebd7f-eb0e-49a6-9d0e-3f929084778c,1,63626,0,0,0,0,0,0,0,0,0,0,0,1
ietf110,ietf110_sframe_28715.vcon.json,044f2a65-de1e-41cf-9527-c4f1dbfbdd26,4,47951,1,0,0,0,0,0,0,0,1,1,0,1
ietf110,ietf110_shmoo_28742.vcon.json,a05dc8cd-141f-4ba9-aa09-0635b37041d6,2,47054,0,0,0,0,0,1,0,0,0,0,0,1
ietf110,ietf110_sidrops_28612.vcon.json,1c6622a0-226d-4a97-a65e-57696623b137,3,77948,0,0,0,0,0,1,0,0,1,1,0,0
